Geneid	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3
ENSG00000290825.2	0	0	0	0	1	0	0	1
ENSG00000223972.6	0	0	0	0	0	0	0	0
ENSG00000310526.1	82	86	65	147	89	119	106	52
ENSG00000227232.6	0	0	0	0	0	0	0	0
ENSG00000278267.1	0	0	0	0	0	0	0	0
ENSG00000243485.6	0	2	1	0	1	0	3	3
ENSG00000284332.1	0	0	0	0	0	0	0	0
ENSG00000237613.3	0	0	0	0	0	0	0	0
ENSG00000308361.1	0	0	0	1	0	0	0	0
ENSG00000290826.2	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0
ENSG00000240361.3	0	0	0	0	0	0	0	0
ENSG00000186092.7	0	0	0	0	0	0	0	0
ENSG00000241860.8	2	0	0	1	3	2	1	0
ENSG00000239945.1	0	0	0	0	0	0	0	0
ENSG00000308314.1	0	0	0	0	0	0	0	0
ENSG00000233750.3	0	0	0	0	0	0	0	0
ENSG00000308579.1	1	1	0	1	0	0	1	0
ENSG00000268903.1	0	0	0	0	0	0	0	0
ENSG00000269981.1	0	0	0	0	0	1	0	0
ENSG00000239906.1	0	0	0	0	0	0	0	0
ENSG00000310528.1	0	0	0	0	0	0	0	0
ENSG00000222623.1	0	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0
ENSG00000308415.1	1	1	0	2	1	0	0	0
ENSG00000310527.1	98	81	65	109	69	100	82	60
ENSG00000279928.2	0	0	0	0	0	0	0	0
ENSG00000279457.4	0	0	0	0	0	0	0	0
ENSG00000273874.1	0	0	0	0	0	0	0	0
ENSG00000308625.1	0	0	0	0	0	0	0	0
ENSG00000308544.1	0	0	0	0	0	0	0	0
ENSG00000292994.2	9	11	9	25	8	9	10	3
ENSG00000228463.11	0	0	0	0	0	0	0	0
ENSG00000306775.1	0	0	0	0	0	0	0	0
ENSG00000286448.2	0	1	0	0	0	0	0	0
ENSG00000236679.2	0	0	0	0	0	0	0	0
ENSG00000236601.3	0	0	0	0	0	0	0	0
ENSG00000290385.2	22	12	12	19	14	17	23	13
ENSG00000269732.1	0	0	0	0	0	0	0	0
ENSG00000284733.2	0	0	0	0	0	0	0	0
ENSG00000237094.13	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0	0	0
ENSG00000250575.1	0	0	0	0	0	0	0	0
ENSG00000278757.1	0	0	0	0	0	0	0	0
ENSG00000293331.2	2	2	2	6	2	5	0	4
ENSG00000225880.7	212	255	195	401	224	307	300	164
ENSG00000235146.3	0	0	0	0	0	0	0	0
ENSG00000225972.1	7	3	3	10	1	3	3	4
ENSG00000225630.1	1232	944	554	1888	821	305	319	102
ENSG00000237973.1	998	767	550	1736	873	1274	955	236
ENSG00000278791.1	0	0	0	1	0	0	0	0
ENSG00000229344.1	22	20	17	36	23	13	11	3
ENSG00000240409.1	0	0	0	0	0	0	0	0
ENSG00000248527.1	13482	9835	5891	15954	7866	4297	4340	1411
ENSG00000198744.5	22	28	21	76	34	28	29	9
ENSG00000268663.1	0	0	0	0	0	0	0	0
ENSG00000284662.2	0	0	0	0	0	0	0	0
ENSG00000230021.11	0	0	0	0	0	0	0	0
ENSG00000229376.3	0	0	0	0	0	0	0	0
ENSG00000223181.1	1	0	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0	0	0
ENSG00000228327.6	0	0	0	0	0	0	0	0
ENSG00000237491.11	117	102	66	120	87	130	119	74
ENSG00000285268.1	0	0	0	0	0	0	0	0
ENSG00000230092.8	0	0	0	0	0	0	0	0
ENSG00000177757.3	0	0	0	0	0	0	0	0
ENSG00000228794.13	701	591	423	1166	684	717	666	371
ENSG00000297178.1	0	0	0	0	0	0	0	0
ENSG00000297224.1	0	0	0	0	0	0	0	0
ENSG00000230368.3	0	0	0	0	1	0	1	0
ENSG00000234711.1	0	0	0	3	1	0	0	0
ENSG00000283040.1	0	0	0	0	0	0	0	0
ENSG00000296088.1	1	1	1	3	3	3	0	1
ENSG00000272438.2	249	258	256	380	243	504	488	252
ENSG00000298603.1	0	0	0	1	0	1	0	0
ENSG00000223764.3	1642	1336	1172	1622	993	1628	1587	821
ENSG00000187634.13	1760	1641	1203	2965	1843	1735	1887	902
ENSG00000188976.11	8154	6712	5314	12383	7085	6873	6533	3517
ENSG00000187961.15	943	837	731	1156	783	1045	1082	538
ENSG00000187583.11	33	32	19	24	14	29	35	13
ENSG00000187642.10	1	4	4	9	4	3	3	7
ENSG00000303599.1	0	0	0	0	0	2	0	0
ENSG00000272512.1	1226	1002	800	1881	1165	910	834	397
ENSG00000188290.11	2530	2011	1665	3187	2114	3376	3812	1746
ENSG00000303623.1	57	58	50	57	53	103	108	28
ENSG00000187608.10	112	107	74	203	114	188	189	74
ENSG00000303614.1	0	0	0	0	0	0	0	0
ENSG00000231702.2	0	0	0	0	0	0	0	2
ENSG00000224969.1	0	2	1	6	2	0	1	0
ENSG00000188157.16	1395	1273	1097	2742	1984	2799	2812	1453
ENSG00000242590.1	0	0	0	0	0	0	0	0
ENSG00000291156.2	185	170	138	203	168	253	238	130
ENSG00000273443.2	40	20	22	33	44	27	27	9
ENSG00000217801.13	6	5	6	12	4	11	12	4
ENSG00000304119.1	45	31	24	50	30	54	62	29
ENSG00000304169.1	0	3	1	1	0	1	1	1
ENSG00000237330.3	5	9	1	19	7	4	2	0
ENSG00000131591.18	587	472	394	759	445	575	553	274
ENSG00000285812.1	0	0	0	0	0	0	0	0
ENSG00000299943.1	0	0	0	0	0	0	0	0
ENSG00000223823.1	0	0	0	0	0	0	0	0
ENSG00000304965.1	0	0	0	0	0	0	0	0
ENSG00000207730.3	0	0	0	0	0	0	0	0
ENSG00000207607.3	0	0	0	0	0	0	0	0
ENSG00000198976.1	0	0	0	0	0	0	0	0
ENSG00000272141.1	0	0	0	3	1	0	0	0
ENSG00000205231.1	0	0	0	0	0	0	0	0
ENSG00000162571.14	0	0	0	0	0	0	0	0
ENSG00000186891.14	1	0	0	0	2	0	0	0
ENSG00000186827.12	0	1	0	1	0	3	0	0
ENSG00000304412.1	4	2	1	3	2	2	2	0
ENSG00000078808.20	3353	2833	2138	5578	3013	3317	3193	1771
ENSG00000176022.7	1317	1078	837	2376	1321	1129	1232	627
ENSG00000184163.3	16	14	22	23	26	36	32	20
ENSG00000260179.1	9	5	7	10	5	10	7	3
ENSG00000160087.21	2982	2524	1922	3940	2249	2539	2530	1289
ENSG00000230415.2	76	76	68	77	61	100	101	41
ENSG00000162572.21	186	180	155	234	165	211	192	119
ENSG00000131584.19	1296	1140	1026	2063	1279	1601	1560	856
ENSG00000278073.1	0	0	0	0	0	0	0	0
ENSG00000169972.13	1319	1224	902	1936	1088	1368	1426	692
ENSG00000127054.22	2232	1799	1466	3216	2050	2515	2655	1231
ENSG00000283712.1	0	0	0	0	0	0	0	0
ENSG00000240731.1	48	39	37	76	56	64	96	47
ENSG00000224051.7	707	561	435	909	475	551	607	255
ENSG00000169962.5	3	2	1	6	3	6	2	3
ENSG00000107404.21	2810	2282	1830	3744	2228	2379	2365	1239
ENSG00000284372.1	0	0	0	0	0	0	0	0
ENSG00000304860.1	26	20	22	24	19	26	22	11
ENSG00000162576.17	77	54	72	133	85	189	206	97
ENSG00000175756.14	2705	2131	1773	3994	2198	2417	2499	1147
ENSG00000223663.2	1	1	1	4	1	2	2	0
ENSG00000221978.13	8985	7838	6473	12318	7709	8669	8467	4766
ENSG00000224870.10	1164	1015	772	1243	720	1254	1129	602
ENSG00000242485.6	3551	3008	2200	5411	3161	3003	2822	1553
ENSG00000264293.2	0	0	0	0	0	0	0	0
ENSG00000301639.1	94	64	60	126	77	111	106	51
ENSG00000272455.1	314	270	209	477	281	422	471	201
ENSG00000235098.9	5	7	13	14	7	16	14	5
ENSG00000225905.2	2	2	3	4	0	2	0	2
ENSG00000205116.4	7	4	2	4	3	8	19	5
ENSG00000225285.2	64	59	61	51	47	56	83	42
ENSG00000179403.12	520	471	343	655	422	496	503	229
ENSG00000215915.10	9	6	3	2	4	11	6	4
ENSG00000160072.20	2676	2152	1729	3870	2143	1865	1850	857
ENSG00000290916.2	2	0	3	6	2	5	3	1
ENSG00000284740.3	0	0	0	0	0	0	0	0
ENSG00000197785.14	2435	1942	1643	3452	1908	2194	2068	1000
ENSG00000205090.10	10	10	10	8	7	10	6	2
ENSG00000299413.1	1	1	1	1	0	1	0	0
ENSG00000160075.12	4635	3845	2933	6601	3671	3860	3687	1953
ENSG00000215014.5	104	104	76	218	136	220	203	98
ENSG00000274481.1	0	0	0	1	0	0	0	0
ENSG00000228594.4	514	453	351	523	362	430	517	202
ENSG00000286989.2	69	70	68	54	34	87	93	50
ENSG00000272106.1	323	256	221	334	202	400	388	221
ENSG00000197530.13	513	471	406	1117	704	710	743	360
ENSG00000189409.14	4	5	5	13	14	7	5	0
ENSG00000248333.9	1626	1281	1064	2598	1468	1742	1614	845
ENSG00000272004.2	107	89	62	163	85	89	90	46
ENSG00000189339.12	2608	2176	1740	3299	2034	2459	2332	1180
ENSG00000293187.1	3	2	0	4	3	4	1	0
ENSG00000269737.3	0	0	0	0	0	0	0	0
ENSG00000310190.1	3	0	1	5	1	2	0	0
ENSG00000310238.1	53	50	45	113	58	76	88	22
ENSG00000215914.4	0	0	0	0	0	0	0	0
ENSG00000008128.23	89	68	75	151	74	116	104	39
ENSG00000268575.1	146	131	92	206	112	173	166	79
ENSG00000293188.2	41	35	25	75	31	40	46	28
ENSG00000290854.2	133	96	98	137	86	145	139	55
ENSG00000215790.9	0	0	0	0	0	0	0	0
ENSG00000227775.4	0	2	0	2	0	0	1	0
ENSG00000008130.15	3159	2730	2143	5175	3050	3302	3357	1722
ENSG00000302550.1	16	9	12	29	9	25	12	3
ENSG00000078369.19	15859	13968	10850	23049	13604	14453	14123	7594
ENSG00000231050.4	28	14	20	31	19	31	32	16
ENSG00000303984.1	1	0	1	0	0	0	3	1
ENSG00000294910.1	9	2	6	9	3	6	12	3
ENSG00000306476.1	1	2	2	2	2	3	5	0
ENSG00000169885.10	6	0	2	2	4	17	14	10
ENSG00000178821.13	107	85	71	130	86	112	119	54
ENSG00000142609.20	24	21	22	14	7	23	16	8
ENSG00000233542.3	2	1	1	1	0	4	3	5
ENSG00000187730.9	69	45	39	93	47	70	95	42
ENSG00000304958.1	0	0	0	1	1	1	0	0
ENSG00000226969.2	2	3	6	8	1	14	13	10
ENSG00000067606.17	1125	957	798	1672	875	1195	1269	614
ENSG00000308181.1	0	0	0	0	0	0	0	0
ENSG00000271806.1	0	0	0	1	0	0	0	1
ENSG00000182873.5	30	30	21	44	22	18	19	8
ENSG00000162585.17	1656	1285	1035	1783	1129	1184	1181	540
ENSG00000304038.1	5	1	0	3	1	3	2	4
ENSG00000234396.3	1	6	2	3	1	2	3	1
ENSG00000304143.1	0	1	0	0	0	0	0	1
ENSG00000157933.11	5946	5126	3736	9763	5391	4567	4505	2248
ENSG00000295493.1	0	0	0	0	0	0	0	0
ENSG00000287356.2	26	19	21	32	16	24	26	13
ENSG00000116151.14	475	386	351	767	485	405	368	190
ENSG00000272161.1	2	1	3	1	1	0	1	3
ENSG00000292993.1	75	57	47	107	69	59	77	22
ENSG00000269896.3	0	0	0	0	0	0	0	0
ENSG00000272420.1	13	4	6	9	10	7	5	4
ENSG00000295371.1	0	0	0	1	0	1	0	0
ENSG00000157916.20	3570	3164	2382	5531	3174	3423	3249	1827
ENSG00000157911.11	1489	1317	1034	2285	1235	1069	1085	566
ENSG00000149527.18	6	6	2	7	5	5	5	2
ENSG00000224387.1	4	3	4	4	2	1	2	1
ENSG00000229393.1	0	2	5	4	1	1	0	0
ENSG00000157881.16	1659	1377	1106	2353	1406	1735	1818	956
ENSG00000197921.6	519	472	371	561	312	885	1023	498
ENSG00000272449.4	265	222	203	214	123	759	813	353
ENSG00000238164.7	4	1	6	3	5	5	5	5
ENSG00000307979.1	0	1	1	1	0	1	0	1
ENSG00000157873.18	2	1	3	6	6	5	4	2
ENSG00000225931.3	0	0	0	0	0	0	0	0
ENSG00000307958.1	0	2	0	0	0	2	1	0
ENSG00000228037.2	3	1	0	0	1	0	1	0
ENSG00000289610.3	0	0	0	0	0	2	1	1
ENSG00000157870.17	573	462	404	756	441	566	498	287
ENSG00000142606.16	5	2	2	4	3	0	6	0
ENSG00000237058.2	0	0	0	0	0	0	0	0
ENSG00000215912.13	162	119	100	162	91	160	181	87
ENSG00000285945.1	0	0	0	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0	0	0
ENSG00000287396.2	135	108	74	568	251	59	52	21
ENSG00000231630.1	0	0	0	1	1	0	0	0
ENSG00000302855.1	0	0	0	0	0	0	0	0
ENSG00000295089.1	0	0	0	0	0	0	0	0
ENSG00000300015.1	0	0	0	0	0	0	0	0
ENSG00000284745.2	0	0	0	0	0	0	0	0
ENSG00000169717.7	0	0	0	0	0	0	0	0
ENSG00000177133.15	229	180	137	269	171	239	240	110
ENSG00000142611.17	1231	1051	814	1609	1026	1229	1132	629
ENSG00000283572.1	0	0	0	0	0	0	0	0
ENSG00000226286.1	0	0	0	0	0	0	0	0
ENSG00000306427.1	1	0	0	0	0	0	0	0
ENSG00000279839.1	3	1	1	8	1	0	1	0
ENSG00000306439.1	0	0	0	0	0	0	0	0
ENSG00000272235.1	1	0	0	0	0	1	2	0
ENSG00000287828.2	10	5	4	4	11	10	13	4
ENSG00000286518.1	0	0	0	0	0	0	0	0
ENSG00000295754.1	0	0	0	0	0	0	0	0
ENSG00000297626.1	0	0	0	0	0	0	0	0
ENSG00000130762.15	439	374	299	310	200	402	379	209
ENSG00000272088.1	3	1	1	4	2	1	2	1
ENSG00000162591.17	48	48	40	93	63	93	134	57
ENSG00000207776.1	0	0	0	0	0	0	0	0
ENSG00000309127.1	0	1	0	0	0	0	0	0
ENSG00000238260.4	47	29	31	40	18	47	61	26
ENSG00000158109.15	1229	1002	763	1054	581	872	863	476
ENSG00000116213.16	2052	1845	1466	2800	1675	2060	2020	1052
ENSG00000078900.16	960	831	602	1216	710	700	765	382
ENSG00000227589.1	0	2	0	0	1	0	1	0
ENSG00000235131.1	0	1	0	0	0	1	0	0
ENSG00000293478.2	2638	2161	1712	3368	2001	2244	2145	1212
ENSG00000276189.1	0	0	0	0	0	0	0	0
ENSG00000227372.13	0	0	0	0	0	0	0	0
ENSG00000162592.10	0	0	0	1	2	2	1	0
ENSG00000296834.1	0	3	0	0	0	0	0	0
ENSG00000235169.11	51	72	31	39	34	43	56	18
ENSG00000130764.10	3546	2937	2282	5428	2951	2829	2656	1434
ENSG00000266075.2	0	0	0	2	0	1	1	1
ENSG00000272153.1	1	2	0	1	4	3	0	1
ENSG00000116198.14	2524	2254	1766	3641	2135	2194	2124	1155
